iter	Passed	Remaining
0	148	148244
1	149	74675
2	150	50111
3	151	37812
4	152	30442
5	154	25528
6	155	22009
7	156	19372
8	157	17355
9	158	15710
10	159	14363
11	161	13282
12	162	12334
13	163	11514
14	164	10814
15	165	10183
16	166	9619
17	167	9116
18	167	8662
19	168	8252
20	169	7883
21	169	7542
22	170	7229
23	170	6943
24	171	6678
25	171	6438
26	172	6211
27	172	6001
28	173	5803
29	173	5619
30	174	5456
31	175	5296
32	175	5144
33	176	5004
34	176	4869
35	177	4743
36	177	4623
37	178	4508
38	178	4403
39	179	4300
40	179	4203
41	180	4111
42	180	4022
43	181	3939
44	181	3858
45	182	3781
46	182	3708
47	183	3637
48	184	3572
49	184	3505
50	184	3440
51	185	3379
52	185	3320
53	186	3266
54	187	3213
55	187	3162
56	188	3114
57	188	3068
58	189	3021
59	189	2976
60	190	2935
61	191	2892
62	191	2851
63	192	2813
64	192	2774
65	193	2738
66	194	2703
67	194	2664
68	195	2631
69	195	2598
70	196	2565
71	196	2533
72	197	2502
73	197	2472
74	198	2443
75	198	2414
76	199	2387
77	199	2360
78	200	2332
79	200	2307
80	201	2281
81	201	2257
82	202	2233
83	202	2210
84	203	2187
85	203	2164
86	204	2142
87	204	2120
88	205	2099
89	205	2079
90	206	2060
91	206	2040
92	207	2022
93	207	2004
94	209	1991
95	210	1978
96	211	1965
97	211	1949
98	212	1932
99	212	1915
100	213	1899
101	213	1881
102	214	1865
103	214	1851
104	215	1836
105	215	1821
106	216	1807
107	217	1792
108	217	1779
109	218	1765
110	218	1751
111	219	1737
112	219	1724
113	220	1711
114	220	1699
115	221	1686
116	221	1674
117	222	1663
118	223	1651
119	223	1639
120	224	1628
121	224	1617
122	225	1604
123	225	1594
124	226	1583
125	226	1573
126	227	1562
127	227	1550
128	228	1540
129	228	1530
130	229	1521
131	229	1511
132	230	1502
133	231	1493
134	231	1484
135	232	1475
136	232	1466
137	233	1457
138	233	1448
139	234	1440
140	235	1432
141	235	1424
142	236	1416
143	236	1408
144	237	1400
145	238	1392
146	238	1385
147	239	1377
148	239	1370
149	240	1362
150	241	1355
151	241	1348
152	242	1341
153	242	1333
154	243	1326
155	243	1319
156	244	1313
157	245	1305
158	245	1299
159	246	1292
160	246	1285
161	247	1279
162	247	1272
163	248	1266
164	249	1260
165	249	1254
166	250	1248
167	250	1242
168	251	1236
169	252	1230
170	252	1225
171	253	1219
172	253	1213
173	254	1207
174	255	1202
175	255	1196
176	256	1191
177	256	1185
178	257	1180
179	257	1174
180	258	1168
181	258	1163
182	259	1158
183	260	1153
184	260	1148
185	261	1143
186	261	1138
187	262	1133
188	263	1129
189	263	1124
190	264	1119
191	264	1115
192	265	1110
193	266	1105
194	266	1100
195	267	1095
196	267	1091
197	268	1086
198	268	1082
199	269	1077
200	270	1073
201	270	1069
202	271	1064
203	271	1060
204	272	1056
205	272	1051
206	273	1048
207	274	1044
208	275	1040
209	275	1036
210	276	1033
211	277	1029
212	277	1026
213	278	1022
214	279	1018
215	279	1015
216	280	1011
217	281	1008
218	281	1004
219	282	1001
220	282	997
221	283	993
222	284	989
223	284	986
224	285	982
225	285	979
226	286	976
227	287	973
228	288	969
229	288	966
230	289	963
231	289	959
232	290	957
233	291	953
234	292	950
235	292	947
236	293	944
237	293	941
238	294	938
239	295	934
240	295	931
241	296	928
242	297	925
243	297	922
244	298	918
245	298	915
246	299	913
247	300	910
248	300	907
249	301	905
250	302	903
251	303	900
252	303	897
253	304	894
254	305	891
255	305	888
256	306	886
257	307	883
258	307	880
259	308	877
260	309	875
261	309	872
262	310	869
263	310	866
264	311	864
265	312	861
266	312	859
267	313	856
268	314	853
269	314	851
270	315	848
271	316	846
272	316	843
273	317	841
